Mar19,56,64,128,256,512,1024,2048
Mar20,56,64,128,256,512,1024,2048
9,884.231,788.97,896.312,879.374,930.208,716.385,INF
11,343.858,294.353,403.801,357.579,382.413,411.615,INF
13,307.123,295.321,380.802,326.097,352.691,542.147,INF
16,281.422,312.963,269.43,300.52,309.517,359.308,INF
19,593.418,735.49,474.968,320.21,350.564,330.127,INF
Mar21,56,64,128,256,512,1024,2048
0,245.205,264.305,258.234,274.467,266.935,270.73,INF
9,380.728,407.687,278.024,281.258,353.877,1272.882,INF
11,INF,INF,INF,INF,INF,INF,INF
13,1308.942,244.629,269.771,322.25,411.896,691.012,INF
15,1323.537,1090.947,888.229,1001.787,1466.771,1148.781,INF
Mar22,56,64,128,256,512,1024,2048
Mar23,56,64,128,256,512,1024,2048
Mar24,56,64,128,256,512,1024,2048
